Step,Accuracy_Train,TRP_Train,TNR_Train,Cost_train,Accuracy_Val,TRP_Val,TNR_Val,Cost_Val
0,50.00000019606791,100.0,0.0,1.1064839730443812,47.36842105263158,100.0,0.0,1.13275960797689
32,50.00000019606791,100.0,0.0,1.0572841977357605,47.36842105263158,100.0,0.0,1.1109619947662632
64,50.00000019606791,100.0,0.0,1.0115928502867384,47.36842105263158,100.0,0.0,1.0408896260107092
96,50.00000019606791,100.0,0.0,0.987351783670657,47.36842105263158,100.0,0.0,1.01754188958448
128,50.00000019606791,100.0,0.0,0.9743181878238096,47.36842105263158,100.0,0.0,1.002890252256392
160,50.00000019606791,100.0,0.0,0.9660190648078393,47.36842105263158,100.0,0.0,0.9959052843144631
192,50.00000019606791,100.0,0.0,0.9598978059250243,47.36842105263158,100.0,0.0,0.9915685769299273
224,50.00000019606791,100.0,0.0,0.9539655575872393,47.36842105263158,100.0,0.0,1.024427735939701
256,50.00000019606791,100.0,0.0,0.9482346688912018,47.36842105263158,100.0,0.0,1.014205883227522
288,50.00000019606791,100.0,0.0,0.9426846979386497,47.36842105263158,100.0,0.0,0.9997348884677241
320,50.00000019606791,100.0,0.0,0.9377036790320594,47.36842105263158,100.0,0.0,0.993514401400467
352,50.00000019606791,100.0,0.0,0.9335037587718549,47.36842105263158,100.0,0.0,0.9837566459258186
384,50.00000019606791,100.0,0.0,0.9300764351487906,47.36842105263158,100.0,0.0,0.9857958832600356
416,50.00000019606791,100.0,0.0,0.9266596291771833,47.36842105263158,100.0,0.0,0.97165466780839
448,50.00000019606791,100.0,0.0,0.9234989125973823,47.36842105263158,100.0,0.0,0.9823068751151575
480,50.00000019606791,100.0,0.0,0.9201192440539325,47.36842105263158,100.0,0.0,0.9701690395932279
512,50.00000019606791,100.0,0.0,0.916882870866291,47.36842105263158,100.0,0.0,0.9627622831172683
544,50.00000019606791,100.0,0.0,0.9143028706576913,47.36842105263158,100.0,0.0,0.9570089402217083
576,50.00000019606791,100.0,0.0,0.9121885109009652,47.36842105263158,100.0,0.0,0.9529251793610442
608,50.00000019606791,100.0,0.0,0.9103105729751712,47.36842105263158,100.0,0.0,0.955465371444268
640,50.00000019606791,100.0,0.0,0.908333676798178,47.36842105263158,100.0,0.0,0.9568144602290986
672,50.00000019606791,100.0,0.0,0.9064368819368324,47.36842105263158,100.0,0.0,0.9570641106935637
704,50.00000019606791,100.0,0.0,0.9045735143973473,47.36842105263158,100.0,0.0,0.9583589609760667
736,50.00000019606791,100.0,0.0,0.9025477925018957,47.36842105263158,100.0,0.0,0.9619099266898887
768,50.00000019606791,100.0,0.0,0.9003858155673655,47.36842105263158,100.0,0.0,0.9691385980744555
800,50.00000019606791,100.0,0.0,0.8980066157191374,47.36842105263158,100.0,0.0,0.9657801256650366
832,50.00000019606791,100.0,0.0,0.8953973198025986,47.36842105263158,100.0,0.0,0.964758416032409
864,50.00000019606791,100.0,0.0,0.8928416534655238,47.36842105263158,100.0,0.0,0.961582548439639
896,50.00000019606791,100.0,0.0,0.8903196900679324,47.36842105263158,100.0,0.0,0.9604900785381009
928,50.00000019606791,100.0,0.0,0.8877731704446736,47.36842105263158,100.0,0.0,0.9596154763303941
960,50.00000019606791,100.0,0.0,0.8852293859595226,47.36842105263158,100.0,0.0,0.9586425286301098
992,50.00000019606791,100.0,0.0,0.882611467104152,47.36842105263158,100.0,0.0,0.961683536734558
1024,50.00000019606791,100.0,0.0,0.8799077598298646,47.36842105263158,100.0,0.0,0.9608752998147526
1056,50.00000019606791,100.0,0.0,0.8770582380068405,47.36842105263158,100.0,0.0,0.9590829010399652
1088,50.00000019606791,100.0,0.0,0.87425692426161,47.36842105263158,100.0,0.0,0.9577770626681239
1120,50.00000019606791,100.0,0.0,0.8714803265625012,47.36842105263158,100.0,0.0,0.9564414090245301
1152,50.00000019606791,100.0,0.0,0.8686536824874981,47.36842105263158,100.0,0.0,0.9573560077509401
1184,50.00000019606791,100.0,0.0,0.865759505657307,47.36842105263158,100.0,0.0,0.9550141774249262
1216,50.00000019606791,100.0,0.0,0.8627626144947258,47.36842105263158,100.0,0.0,0.9541189548772825
1248,50.00000019606791,100.0,0.0,0.8596528044545068,47.36842105263158,100.0,0.0,0.9526701915292332
1280,50.555555757723354,100.0,1.1111111111111112,0.8564717412137144,47.36842105263158,100.0,0.0,0.9509854393913094
1312,50.8479534207206,100.0,1.695906432748538,0.8532995419686922,47.36842105263158,100.0,0.0,0.9496351248422514
1344,51.666666881034246,100.0,3.333333333333333,0.8501102964714257,47.36842105263158,100.0,0.0,0.9477997945172586
1376,52.4853803413479,100.0,4.97076023391813,0.8468480746397559,47.36842105263158,100.0,0.0,0.9458992216982415
1408,53.625731228997836,100.0,7.251461988304094,0.8434974394245373,47.36842105263158,100.0,0.0,0.9432670578888774
1440,54.73684235230873,100.0,9.473684210526315,0.8401282858258365,47.36842105263158,100.0,0.0,0.942705251828649
1472,55.58479557696142,100.0,11.169590643274853,0.8367072612509276,47.36842105263158,100.0,0.0,0.9406521985082313
1504,56.43274880161411,100.0,12.865497076023392,0.8332229600538729,47.36842105263158,100.0,0.0,0.9388166642762213
1536,57.22222249758871,100.0,14.444444444444445,0.8296723709338981,47.36842105263158,100.0,0.0,0.9368509919392118
1568,59.18128684555229,100.0,18.362573099415204,0.8260471907810528,47.36842105263158,100.0,0.0,0.9315180779676272
1600,62.22222255248772,100.0,24.444444444444446,0.8223806118913164,47.36842105263158,100.0,0.0,0.9285450148034033
1632,63.59649157445682,100.0,27.19298245614035,0.8185979915228232,47.36842105263158,100.0,0.0,0.9275063033514136
1664,69.06432789799415,100.0,38.12865497076023,0.8147936623257754,47.36842105263158,100.0,0.0,0.9244964240939499
1696,70.20467878564408,100.0,40.4093567251462,0.8109363007742915,47.36842105263158,100.0,0.0,0.9221596417003457
1728,74.47368467324658,100.0,48.94736842105263,0.8069883888976609,47.36842105263158,100.0,0.0,0.9195406023586926
1760,76.98830458286561,100.0,53.97660818713451,0.8030184938736126,47.36842105263158,100.0,0.0,0.9173902106045542
1792,79.26900635816548,100.0,58.53801169590643,0.7989317724838342,57.89473684210526,100.0,20.0,0.91506956403905
1824,79.79532215548188,100.0,59.5906432748538,0.7948136488796993,57.89473684210526,100.0,20.0,0.9159018220518824
1856,81.16959117745098,100.0,62.33918128654972,0.7906035457120085,57.89473684210526,100.0,20.0,0.9132159819029567
1888,83.94736898572822,100.0,67.89473684210527,0.7863443594789775,57.89473684210526,100.0,20.0,0.9106355253239518
1920,85.87719356935276,100.0,71.75438596491229,0.7820122812356242,63.1578947368421,100.0,30.0,0.9055474330601209
1952,86.6959070296664,100.0,73.39181286549709,0.7776071576140992,68.42105263157895,100.0,40.0,0.9021075099169833
1984,87.25146259132184,100.0,74.50292397660819,0.7731410868790269,68.42105263157895,100.0,40.0,0.8841002641828536
2016,88.94736904062722,100.0,77.89473684210526,0.7685678974662068,68.42105263157895,100.0,40.0,0.8810895927232283
