Step,Accuracy_Train,TRP_Train,TNR_Train,Cost_train,Accuracy_Val,TRP_Val,TNR_Val,Cost_Val,Scenario
2016.0,90.8114041740957,93.78654970760236,87.83625730994152,0.779652618510329,78.94736842105263,88.88888888888889,70.0,0.8563304024500196,scenario28
2016.0,85.55555614201646,100.0,71.11111111111113,0.755942095493144,73.6842105263158,100.0,50.0,0.8434147153101526,scenario29
2016.0,99.7076030820608,100.0,99.41520467836256,0.7142550570145766,84.21052631578948,100.0,70.0,0.7753776424013689,scenario30
2016.0,100.00000074505806,100.0,100.0,0.7252967333039565,83.33333333333333,100.0,70.0,0.7751625709751813,scenario31
2016.0,97.74122879301248,98.75730994152048,96.72514619883042,0.75617447767439,68.42105263157895,77.77777777777777,60.0,0.8509143748136708,scenario32
2016.0,96.63742761078632,100.0,93.27485380116958,0.740908364602384,73.6842105263158,88.88888888888889,60.0,0.8656577658702682,scenario33
2016.0,97.32456213157428,95.17543859649123,99.47368421052632,0.7459434074275593,73.6842105263158,77.77777777777777,70.0,0.8494424297963922,scenario34
1984.0,94.97076092582,100.0,89.94152046783627,0.722757841351147,78.94736842105263,88.88888888888889,70.0,0.8159994405552718,scenario35
2016.0,100.00000074505806,100.0,100.0,0.6716549869547713,94.73684210526316,100.0,90.0,0.7607728437910019,scenario37
2016.0,81.52046836912632,100.0,63.04093567251462,0.7754777712958275,63.1578947368421,100.0,30.0,0.8965645697401791,scenario38
1632.0,79.18128706514835,100.0,58.36257309941521,0.7403024798207231,68.42105263157895,100.0,40.0,0.9471728461841012,scenario39
2016.0,86.02339241065476,100.0,72.04678362573098,0.8069338416338723,57.89473684210526,100.0,20.0,0.9389992312060356,scenario40
2016.0,88.07017605163549,100.0,76.14035087719299,0.7990538833247244,57.89473684210526,100.0,20.0,0.905087072719054,scenario42
2016.0,84.41520525436653,100.0,68.83040935672516,0.7683568797865081,63.1578947368421,100.0,30.0,0.9100641637309356,scenario43
2016.0,89.97076087092098,100.0,79.94152046783626,0.7639007976788882,84.21052631578948,100.0,70.0,0.8365720281053006,scenario44
