Step,Accuracy_Train,TRP_Train,TNR_Train,Cost_train,Accuracy_Val,TRP_Val,TNR_Val,Cost_Val,Scenario
0.0,50.00000072045709,100.0,0.0,1.0763315927603865,81.13207547169812,100.0,0.0,0.8076605464864448,scenario1
0.0,50.00000072045709,100.0,0.0,1.1523416632989387,81.13207547169812,100.0,0.0,0.7493596142730057,scenario3
0.0,50.00000072045709,100.0,0.0,1.2326183865184028,81.13207547169812,100.0,0.0,0.7164169778517535,scenario4
0.0,50.00000025278756,100.0,0.0,1.1582423393965378,64.28571428571429,100.0,0.0,0.955231078467878,scenario5
1792.0,100.0000022065181,100.0,100.0,0.2507298582166429,76.92307692307692,75.0,80.0,0.6159320111495584,scenario6
1088.0,100.00000074505806,100.0,100.0,0.2886146275076622,84.21052631578948,88.88888888888889,80.0,0.927262387109012,scenario7
1696.0,98.4261077955704,96.85221195916382,100.0,0.3942587492931445,72.72727272727273,85.29411764705883,30.0,0.7025713299249055,scenario8
0.0,50.00000145991106,100.0,0.0,1.1543938109414753,72.97297297297297,100.0,0.0,0.8502242181192091,scenario9
2016.0,100.00000138367923,100.0,100.0,0.2399335170177002,80.0,80.0,80.0,0.690989719815989,scenario10
0.0,50.00000072045709,100.0,0.0,1.156879850791745,81.13207547169812,100.0,0.0,0.7497587947000492,scenario11
0.0,50.00000072045709,100.0,0.0,1.096671679669917,81.13207547169812,100.0,0.0,0.8105652249454222,scenario12
1568.0,99.67320310668303,100.0,99.34640522875816,0.3677026773836945,65.38461538461539,55.55555555555556,70.58823529411765,0.9059629112529832,scenario14
1984.0,100.00000049431736,100.0,100.0,0.0683276956613653,84.61538461538461,88.88888888888889,82.3529411764706,0.4079230793797621,scenario15
2016.0,100.00000049431736,100.0,100.0,0.0674225719784646,80.76923076923077,88.88888888888889,76.47058823529412,0.4699500368249302,scenario16
768.0,99.73684284639984,100.0,99.47368421052632,0.346989849767583,78.94736842105263,100.0,60.0,0.8552363246167451,scenario17
1920.0,100.00000074505806,100.0,100.0,0.1757396501935713,73.6842105263158,77.77777777777777,70.0,0.749885852613258,scenario18
1088.0,100.00000074505806,100.0,100.0,0.2379202125434383,73.6842105263158,77.77777777777777,70.0,0.7145584601698202,scenario19
1248.0,100.00000074505806,100.0,100.0,0.2049582911636236,68.42105263157895,77.77777777777777,60.0,0.8418961048516824,scenario20
2016.0,100.00000074505806,100.0,100.0,0.2889906186666519,89.47368421052632,88.88888888888889,90.0,0.5523641395140875,scenario21
1408.0,100.00000049431736,100.0,100.0,0.0685161920541731,92.3076923076923,100.0,88.23529411764706,0.3691636907220204,scenario22
1792.0,100.00000074505806,100.0,100.0,0.2549936823031035,89.47368421052632,77.77777777777777,100.0,0.5998384885781206,scenario24
2016.0,100.00000074505806,100.0,100.0,0.2799008826391153,94.73684210526316,88.88888888888889,100.0,0.5071003575911219,scenario25
1920.0,100.00000074505806,100.0,100.0,0.2662122887602468,78.94736842105263,88.88888888888889,70.0,0.6452397911026901,scenario26
2016.0,90.8114041740957,93.78654970760236,87.83625730994152,0.779652618510329,78.94736842105263,88.88888888888889,70.0,0.8563304024500196,scenario28
2016.0,85.55555614201646,100.0,71.11111111111113,0.755942095493144,73.6842105263158,100.0,50.0,0.8434147153101526,scenario29
2016.0,99.7076030820608,100.0,99.41520467836256,0.7142550570145766,84.21052631578948,100.0,70.0,0.7753776424013689,scenario30
2016.0,100.00000074505806,100.0,100.0,0.7252967333039565,83.33333333333333,100.0,70.0,0.7751625709751813,scenario31
2016.0,97.74122879301248,98.75730994152048,96.72514619883042,0.75617447767439,68.42105263157895,77.77777777777777,60.0,0.8509143748136708,scenario32
2016.0,96.63742761078632,100.0,93.27485380116958,0.740908364602384,73.6842105263158,88.88888888888889,60.0,0.8656577658702682,scenario33
2016.0,97.32456213157428,95.17543859649123,99.47368421052632,0.7459434074275593,73.6842105263158,77.77777777777777,70.0,0.8494424297963922,scenario34
1984.0,94.97076092582,100.0,89.94152046783627,0.722757841351147,78.94736842105263,88.88888888888889,70.0,0.8159994405552718,scenario35
2016.0,100.00000074505806,100.0,100.0,0.6716549869547713,94.73684210526316,100.0,90.0,0.7607728437910019,scenario37
2016.0,81.52046836912632,100.0,63.04093567251462,0.7754777712958275,63.1578947368421,100.0,30.0,0.8965645697401791,scenario38
1632.0,79.18128706514835,100.0,58.36257309941521,0.7403024798207231,68.42105263157895,100.0,40.0,0.9471728461841012,scenario39
2016.0,86.02339241065476,100.0,72.04678362573098,0.8069338416338723,57.89473684210526,100.0,20.0,0.9389992312060356,scenario40
2016.0,83.62573155839192,100.0,67.2514619883041,0.7484153428004265,78.94736842105263,100.0,60.0,0.8916063418854555,scenario41
2016.0,88.07017605163549,100.0,76.14035087719299,0.7990538833247244,57.89473684210526,100.0,20.0,0.905087072719054,scenario42
