Step,Accuracy_Train,TRP_Train,TNR_Train,Cost_train,Accuracy_Val,TRP_Val,TNR_Val,Cost_Val,Scenario
2016.0,95.05892441133564,90.1178461731336,100.0,0.3796038671790277,66.0377358490566,72.09302325581395,40.0,0.8055653381987595,scenario1
2016.0,89.44458498109906,85.76547775757955,93.12368972746332,0.7118320245510484,60.37735849056604,74.4186046511628,0.0,0.9646136211393136,scenario2
2016.0,93.09816465027772,89.84412545184811,96.35220125786162,0.6777957034241704,50.943396226415096,60.46511627906977,10.0,1.0901450922634033,scenario3
2016.0,98.52535710757914,97.05071146492824,100.0,0.6186935959071068,77.35849056603773,88.37209302325581,30.0,0.7370486183563175,scenario4
2016.0,99.68487481320544,99.36974789915963,100.0,0.3029391905868442,50.0,50.0,50.0,1.4033737593195048,scenario5
2016.0,100.0000022065181,100.0,100.0,0.2192880524534686,73.07692307692308,75.0,70.0,0.7232026093346102,scenario6
2016.0,100.00000074505806,100.0,100.0,0.1335663083318753,68.42105263157895,66.66666666666667,70.0,1.135903536955059,scenario7
2016.0,98.63170656925914,97.2634094960298,100.0,0.3451743417033866,72.72727272727273,88.23529411764706,20.0,0.7511210054776559,scenario8
2016.0,99.4918015861028,98.98359898359898,100.0,0.3067602959346718,70.27027027027027,74.07407407407408,60.0,0.9762174344306654,scenario9
2016.0,100.00000138367923,100.0,100.0,0.2395255543407956,77.14285714285714,76.0,80.0,0.7484526667471134,scenario10
2016.0,95.39115032673163,90.78229800037612,100.0,0.6302670388296753,58.490566037735846,65.11627906976744,30.0,0.8889114287802465,scenario11
