Step,Accuracy_Train,TRP_Train,FPR_Train,Cost_train,Accuracy_Val,TRP_Val,FPR_Val,Cost_Val
0,50.00000079162419,100.0,0.0,1.0764911804244666,87.5,100.0,0.0,0.7184402782949322
32,51.770834147464484,97.91666666666666,5.625,0.9841843482361432,75.0,85.71428571428571,0.0,0.9633530290180675
64,50.93750080559403,100.0,1.875,0.970708826054945,87.5,100.0,0.0,0.9569989114513522
96,51.413691288325936,99.70238095238095,3.125,0.9606898700150008,87.5,100.0,0.0,0.9599899835393473
128,59.25272332970053,98.36655592469546,20.13888888888889,0.9507124191883789,68.75,78.57142857142857,0.0,0.9623584412970754
160,69.10587499733083,95.85063676633445,42.361111111111114,0.9401168525791634,56.25,64.28571428571429,0.0,0.9651219952812848
192,75.36429608007893,91.83970099667775,58.888888888888886,0.9294889990161442,56.25,57.142857142857146,50.0,0.9700015018101442
224,80.0222649530042,89.76674972314508,70.27777777777779,0.9187464782750032,56.25,57.142857142857146,50.0,0.9673980286446953
256,81.30571828223765,87.40310077519379,75.20833333333334,0.9081754417892023,56.25,57.142857142857146,50.0,0.9746950863933747
288,82.91609113221057,86.80440199335547,79.02777777777779,0.8970132112342561,50.0,57.142857142857146,0.0,0.9960974562239862
320,83.1604156002868,86.04305094130675,80.27777777777777,0.8862187050408208,50.0,57.142857142857146,0.0,0.9909139931075075
352,83.21001877193339,85.44781284606866,80.97222222222223,0.8756240233202057,50.0,57.142857142857146,0.0,0.9966844262326838
384,83.13434509327635,83.97702104097453,82.29166666666667,0.8653895635514454,50.0,57.142857142857146,0.0,1.014456229329847
416,83.334488136461,83.68286267995569,82.98611111111111,0.8550757886717937,50.0,57.142857142857146,0.0,1.0131609867647784
448,83.01181370392442,82.91251384274638,83.11111111111111,0.8449773488394045,50.0,57.142857142857146,0.0,1.0133724388499603
480,84.22529963155587,82.59874492432631,85.85185185185186,0.8353056808177198,53.333333333333336,61.53846153846154,0.0,1.0034822295483932
512,84.39990280816953,82.281284606866,86.51851851851852,0.8257631858427382,46.666666666666664,53.84615384615385,0.0,1.011271314174295
544,83.9078393081824,81.96382428940568,85.85185185185186,0.8162464878034341,46.666666666666664,53.84615384615385,0.0,1.017124857866612
576,84.16180756563942,81.80509413067553,86.51851851851852,0.8073108809890067,46.666666666666664,53.84615384615385,0.0,1.021125018696267
608,84.32053772732615,82.12255444813584,86.51851851851852,0.7986774095099717,46.666666666666664,53.84615384615385,0.0,1.0212721669629274
640,84.75095486268401,81.65005537098561,87.85185185185186,0.789976449967791,46.666666666666664,53.84615384615385,0.0,1.0288315835588198
672,84.33825644354026,81.49132521225543,87.18518518518519,0.7813072403758852,53.333333333333336,61.53846153846154,0.0,1.0051635117570044
704,84.39990280816953,82.28128460686601,86.51851851851852,0.7732986743193303,53.333333333333336,61.53846153846154,0.0,0.9944637658861472
736,84.80755631501476,81.02251753414542,88.5925925925926,0.7655918963167161,53.333333333333336,61.53846153846154,0.0,0.9960008779450239
