Step,Accuracy_Train,TRP_Train,TNR_Train,Cost_train,Accuracy_Val,TRP_Val,TNR_Val,Cost_Val
0,50.00000145991106,100.0,0.0,1.1543938109414753,72.97297297297297,100.0,0.0,0.8502242181192091
32,50.00000145991106,100.0,0.0,0.9704510408096604,72.97297297297297,100.0,0.0,0.9430344392745069
64,50.00000145991106,100.0,0.0,0.9456067964240307,72.97297297297297,100.0,0.0,0.9374236710984868
96,51.04335251490812,99.3839993839994,2.7027027027027026,0.9269482260920664,72.97297297297297,100.0,0.0,0.9414033169465357
128,58.852315422248196,99.17609917609919,18.52852852852853,0.9082793022389493,67.56756756756756,92.5925925925926,0.0,0.9337277019548235
160,67.69230936628742,98.86809886809887,36.51651651651652,0.8891812112422123,67.56756756756756,92.5925925925926,0.0,0.9419276655955523
192,77.4335892266921,97.84014784014785,57.027027027027025,0.8698051765912275,64.86486486486487,88.88888888888889,0.0,0.93878787468011
224,84.50797139289412,97.12404712404712,71.8918918918919,0.8506394623153608,67.56756756756756,88.88888888888889,10.0,0.9198430286754761
256,88.615925539587,95.88049588049587,81.35135135135135,0.8319843984406431,59.45945945945946,77.77777777777777,10.0,0.9409712444438001
288,90.74343768628063,95.36074536074536,86.12612612612612,0.8134840775068541,64.86486486486487,81.48148148148148,20.0,0.9298517071542695
320,93.06691503907378,94.75244475244476,91.38138138138139,0.7954843805837662,59.45945945945946,74.07407407407408,20.0,0.9541714373546516
352,94.28005126883855,94.95649495649495,93.6036036036036,0.7775653439478465,59.45945945945946,74.07407407407408,20.0,0.9457927345152789
384,95.47124247293215,95.05659505659507,95.88588588588588,0.7605662572499214,64.86486486486487,77.77777777777777,30.0,0.9439995074014244
416,96.26588328061877,95.26449526449528,97.26726726726726,0.7437661085203978,59.45945945945946,70.37037037037037,30.0,0.9376841550641175
448,96.2139082267075,95.16054516054515,97.26726726726726,0.7273850744415717,59.45945945945946,70.37037037037037,30.0,0.9280251667107109
480,96.33210334624793,94.85639485639486,97.8078078078078,0.7117418149511271,56.75675675675676,66.66666666666667,30.0,0.927393229657125
512,96.86879388786652,94.54839454839457,99.1891891891892,0.6965440111693741,56.75675675675676,66.66666666666667,30.0,0.9303895509895878
544,96.85377887374646,94.54839454839454,99.15915915915916,0.6819849284615284,56.75675675675676,66.66666666666667,30.0,0.9339179517723213
